,username,user_location,user_description,user_verified,date,text,hashtags,source
16,Capestop,"Cape Town, South Africa","Things to do, on stage entertainment, markets, be active & news. Thus stop, stay & play in #CapeTown.",False,2022-01-07 05:35:00+00:00,"COVID-19 news update

#virus #lockdown #corona #omicron 
https://t.co/uGs0ZhjhQX https://t.co/BmBFsYsn85","['virus', 'lockdown', 'corona', 'omicron']",Twitter Web App
17,JC Emmanuel,CDO,don’t chase attract,False,2022-01-07 04:42:08+00:00,"Agghhhh I’m graduating next semester, I just turned 21 &amp; Rudy Gobert got the rona for the 2nd time time flies soo fast!! Potaaa gusto Corona walang hiyaaa",,Twitter for iPhone
18,AB,South Africa,No one owns ANC Everyone can use colours of it and talk about it. Tsek,False,2022-01-07 03:49:52+00:00,@iamnovel_t @azania1023 You are not on SA wena On Corona someone was booed by the public at Alex maybe is that person your love and you think all people were blind to see like you.,,Twitter for Android
19,Becca Clagg,Somewhere On The Road,PICU Travel RN 🩺 | Summer Camp RN ❣️| Coffee Enthusiast ☕️ | Bookworm 🐛 | Sci/Hist. Nerd 🤓 | Dog Mom 🐶 | Lover of Wild & Lonely Places 🖤| Nomadic | She/Her,False,2022-01-07 00:16:12+00:00,@babyfeverMD I was getting report the other day and got told pt had OG Corona and it’s been so long since I’ve seen/heard that I wanted to cry happy (ish) tears at the “normalcy” for a brief moment.,,Twitter for iPhone
20,Micael Corleone, Gardens ,"Free Rick Zoe
RIP Brisco
RIP Mama Keme 🕊",False,2022-01-06 22:41:14+00:00,She had corona https://t.co/KB7wc9rDqo,,Twitter for Android
21,Mrs Mathenjwa,"Cape Town, South Africa","A wife
mother 
diagnostic radiographer aka medical photographer",False,2022-01-06 19:22:58+00:00,@Corona_Lite23 @StaxCooks I was thinking this 🤣🤣🤣,,Twitter for Android
22,Tee eye ᅠ,South Africa,utata wo  thandiwe no thandokuhle,False,2022-01-06 17:58:37+00:00,"@News24 Lol nono they are starting, corona originated in Asia. Now africa is we are suffering the quencequencies.",,Twitter for Android
23,PROFESSOR !!,South Africa,"You owe SARS money in any form !!
Sars after your house??
Having nonsense with SARS let me know
Emergency tax help line (24/7)
0731685309
email -exports352@gmai",False,2022-01-06 17:39:01+00:00,@FireandIce1227 @TrishForTrump Biden did you copy the ANC and take Corona funding what new,,Twitter Web App
24,Bradley Jon Eaglefeather,Cape Town,"The Organic Intellectual, Transmedia Producer, DJ, Nanotechnologist | Creative Collaborative Media Design @theeaglesvision | https://t.co/wThRX7XMky aloha!",False,2022-01-06 14:56:10+00:00,Spacecraft Enters the Sun’s Blistering Hot Corona for the First Time in History: An instrument made by scientists and engineers at the Center for Astrophysics has helped verify that — for the first time… https://t.co/M3vDy066ZQ | @SciTechDaily1 #SciTechDaily #Science #Technology https://t.co/fnwS201Eq2,,dlvr.it
25,Mjekejeke,South Africa,"the Hustler , Zulu man -✌️✌️✌️🧑🏻‍🦼 ##deep house big fan $&✌️",False,2022-01-06 14:12:13+00:00,"@News24 Fuck that we are with corona those rich guys they have already done their trillions so what now ,🤷🏾‍♂️Hheynina Hheynina ngiyanikhomba take your shit news and shove them up where the sun doesn’t shine 😡always discover nx",,Twitter Web App
26,bomiikaz.n,"Cape Town, South Africa",Jaboukie Young-White fan account.,False,2022-01-06 13:43:26+00:00,A dagwood and a cold corona would be amazing right now😭.,,Twitter for iPhone
27,Thabiso ✨,"Kwa-Thema, South Africa",Young Man With A Big Heart ❤️,False,2022-01-06 13:02:15+00:00,Why is the Corona maroon on F1? 😭😭 https://t.co/pI0xn913ba,,Twitter for iPhone
28,Mexican,"Cape Town, South Africa",Suffering from an extreme case of not being rich🚶🏿‍♂️,False,2022-01-06 12:54:39+00:00,1st frame why the hell is i Corona red😭😭😭😭😭😭 https://t.co/V6Zc6f6xFp,,Twitter for iPhone
29,Tman,South Africa,"I'm a patriot.South Africa and Natives first.
Expropriation without Compensation.Cyril must fall.",False,2022-01-06 11:11:56+00:00,@VusiSambo And he contracted corona doing those get down moves.He is lucky his knees didnt lock.,,Twitter for Android
30,Dan Larusso.,South Africa,20%,False,2022-01-06 10:52:09+00:00,Weather is screaming Corona with a slice of lemon/lime..,,Twitter for Android
31,Uncle Gee 👑,"Cape Town, South Africa",IG: gomolemo_17 | Food guru | Lifestyle | Brand Ambassador | Digital Marketer | Promoter | Social Media Influencer | God is Great | 📧 gvseitlhamo@gmail.com,False,2022-01-06 10:12:51+00:00,@OliphantSihle Alright I actually enjoy drinking Corona than Black Label.,,Twitter for Android
32,Miss_Oliphant🤍,"Kimberley, Northern Cape","Student 🎓
Scorpio ♏
I.G Miss_Oliphant_12
⚽ #12
19/06/21🕊️",False,2022-01-06 10:07:58+00:00,"@GomolemoSA_ I'm telling you, Corona is nowhere close to Black Label.",,Twitter for Android
33,MaBhekzon,"Jozi, South Africa",DONDA is a masterpiece. Kanye West is the greatest artist of our generation!,False,2022-01-06 10:05:12+00:00,That’s the price of six pack of Corona there by Fire &amp; Ice Menlyn 💀 https://t.co/enrzDzekaz,,Twitter for iPhone
34,king,"Cape Town, South Africa",sit back & watch me fly,False,2022-01-06 09:00:27+00:00,I was at pick n pay yesterday &amp; there was an aftershave I wanted but it was like R130 &amp; I thought to myself ha.a yi 6 ye corona le 😂😂😂,,Twitter for iPhone
35,NaNo-TecH,Cape town,"Just your average gamer. Getting by on memes, tweets and tech news.",False,2022-01-06 08:46:39+00:00,"So when a European nation discovers a new variant there's no travel ban?
What makes them better than the African nations they discriminated against?
#RacistEurope
New coronavirus variant identified in France https://t.co/63mzyqIQlg",,Twitter Web App
36,Ailer,Cape Town,You have every right not to follow back if only umhle.,False,2022-01-06 08:36:32+00:00,"Yeses!! Now why is Corona red? Agin that girl F2 her eyes wide open she knows what she’s up against, nigga on supper skinny with Russian bear on his pocket 😭😭😭 https://t.co/I2ydhk8s2I",,Twitter for iPhone
37,Capestop,"Cape Town, South Africa","Things to do, on stage entertainment, markets, be active & news. Thus stop, stay & play in #CapeTown.",False,2022-01-06 05:30:00+00:00,"COVID-19 news update

#virus #lockdown #corona #omicron 
https://t.co/uGs0Zh1GZp https://t.co/GXr9tSt5qn","['virus', 'lockdown', 'corona', 'omicron']",Twitter Web App
38,Souwndchekker,België,I know how to reproduce the best sound. 145db+,False,2022-01-05 22:29:31+00:00,"People who fear Corona should protect themselves. It's not up to me to protect them. That would put a burden on me I don't want to carry.

Thank you. https://t.co/XmzyWybjU0",,Twitter Web App
39,Currently Infested with Corona 🦠,"Cape Town, South Africa",Auto-correct says I'm not who I say I am // Reality is a lovely place but I wouldn't want to live there. #TSLA #BTC Bull,False,2022-01-05 21:34:34+00:00,"It's official. 

I have fucking Corona 🙆🏻‍♂️😭 https://t.co/FTh9fqpkTZ",,Twitter for Android
40,Society’s Menace,South Africa,I have a fear of butterflies,False,2022-01-05 20:21:42+00:00,@Mayy_uri Girl so bored she decided to turn into corona,,Twitter for iPhone
41,MelaninGoddess🖤🖤🖤,South Africa,spiritual journey,False,2022-01-05 18:48:15+00:00,"Marco proved that time traveling is real,he knew Corona virus was coming since 2013... https://t.co/pfI6q7BNL3",,Twitter for Android
42,Alicia Danster,"Cape Town, South Africa ","Future Intermediate Phase teacher👩‍🏫

°Huge Manchester City & England fan💙🏴󠁧󠁢󠁥󠁮󠁧󠁿
IG: @itsss_leecha",False,2022-01-05 17:49:06+00:00,"@NetflixSA no life, just corona. 😷",,Twitter Web App
43,zelacost,South Africa,"Analogue at birth, digital by design. #VFX Twitter advocate. Student. Unapologetic food guru. Social media expert. Internet scholar. #VFX",False,2022-01-05 16:24:55+00:00,@GomolemoSA_ Corona has no taste though,,Twitter for Android
44,Ntokozo,"Rustenburg, South Africa",I am not my tweets. This is not my real personality. 🤾🏾‍♀️  retired groovist.,False,2022-01-05 16:20:45+00:00,"I’m also done with savanna, Corona one way 🤞🏾 https://t.co/24Ju46Uqv6",,Twitter for iPhone
45,Miss_Oliphant🤍,"Kimberley, Northern Cape","Student 🎓
Scorpio ♏
I.G Miss_Oliphant_12
⚽ #12
19/06/21🕊️",False,2022-01-05 15:29:24+00:00,"@GomolemoSA_ Stella &gt;&gt;&gt;&gt;&gt; Black Label yes, eseng Corona",,Twitter for Android
46,Uncle Gee 👑,"Cape Town, South Africa",IG: gomolemo_17 | Food guru | Lifestyle | Brand Ambassador | Digital Marketer | Promoter | Social Media Influencer | God is Great | 📧 gvseitlhamo@gmail.com,False,2022-01-05 15:24:09+00:00,Corona &gt;&gt;&gt;&gt; Black Label but nobody is ready for that talk,,Twitter for Android
47,M A K H O,South Africa,"YNWA♥️

DK Stan account",False,2022-01-05 14:27:43+00:00,"Corona, In The Multiverse Of Madness https://t.co/VHOtQzk0ye",,Twitter for Android
48,luv u,South Africa,a real life angel.,False,2022-01-05 12:57:52+00:00,@mandaB___ Me too but I’m back to pushing Corona promo mate,,Twitter for iPhone
49,#WebuyBlackeveryday,South Africa,"As within, so without!",False,2022-01-05 12:48:38+00:00,@daddyhope @Malindy40918020 @CyrilRamaphosa @PresidencyZA y'all are busy eating your boogers when are you deploying soldiers to help Minister of home affairs? You had no issue deploying them to force us into your Corona lies and when black people were killed by Indians in Phoenix,,Twitter for Android
50,Gabriele Vogel,South Africa,,False,2022-01-05 12:46:13+00:00,"@Snowbell8_8 I am taking all of this since day one of Corona, VitD even before. Not one day sick, not a sniffle. I even flew to Europe and back. For me it’s a must take, according my doctor and pharmacist, I am all good 👍.",,Twitter for iPhone
51,luv u,South Africa,a real life angel.,False,2022-01-05 12:33:57+00:00,This Corona is going down so nicely.,,Twitter for iPhone
52,Земља зове облаке ⛅️⛅️⛅️,"Cape Town, South Africa",❤️Косово и Метохија🇷🇸,False,2022-01-05 12:08:01+00:00,@alexpinter_stmk @AustralianOpen @steftsitsipas @Madison_Keys @HubertHurkacz @DjokerNole Open your eyes. Greed for money proves there’s no corona except control of population.,,Twitter for iPhone
53,Земља зове облаке ⛅️⛅️⛅️,"Cape Town, South Africa",❤️Косово и Метохија🇷🇸,False,2022-01-05 12:06:32+00:00,"@AustralianOpen @steftsitsipas @Madison_Keys @HubertHurkacz The best tennis player ever KNOWS what to do with his body. No way that he has not so far consulted with true professionals. Even if not,  getting C19 jabs is his own decision. AO is craving for money, and Novak can suffice their greed. So, AO’s greed proves there’s no corona.",,Twitter for iPhone
54,MtbApp,South Africa,"Curator of cycling stories... 
Race calendar Download the Mtbapp https://t.co/P2bDpj6kmM
Instagram @Mtbapp",False,2022-01-05 11:08:54+00:00,"CAUTION SHOULD BE EXERCISED WHEN RETURNING TO TRAINING  after Coronavirus
https://t.co/MKPQ5OGMBD",,TweetDeck
55,FlightCentreRSA,South Africa,"🌏 Making travel dreams come true since 1994
✈ 47+ locations & 200+ travel experts across South Africa
📍 Tag your pictures with @flightcentrersa  0877 40 5018",True,2022-01-05 11:00:42+00:00,"2/3 Entry Statement within 48 hours of entry - https://t.co/kYjJQwTYPl
PCR Test 72 hours before flight or Antigen test 24 hours before flight
PCR test on arrival (paid on arrival or prepaid online - https://t.co/fEmPP5YX9p)",,Twitter Web App
56,Bafana G Moloi,South Africa,A seeker of knowledge   #mindyourgrind,False,2022-01-05 10:41:50+00:00,"@ThandiweThandz_ Maybe they should just keep it at Corona Virus... the names don’t mean... to me, or to those it catches",,Twitter for iPhone
57,Riaan,South Africa,"Nature, photography, business. Husband, Father, SME Owner. Not a conformist. Independent thinker. On Twitter since 2013. ""Vivre Libre ou Mourir""",False,2022-01-05 10:40:54+00:00,"Connection between Corona and radiofrequency radiation.
https://t.co/TsQ0WGN7ao",,Twitter Web App
58,Mark Lockyer Meridian Realty,"Cape Town, South Africa","Member IEASA
A comprehensive real estate marketing service
Using Latest technology to market homes #findyourmeridian
#propertywesterncape #meridianrealtysa",False,2022-01-05 10:35:11+00:00,@SuperRedWine @melvanwykct Like the toilet roll scramble at the beginning of Corona. Panic buy your Easter eggs now! You don’t know if there will be any left by April!,,Twitter for iPhone
59,Kompostina,"Cape town, South Africa.",Physics teacher.,False,2022-01-05 09:29:49+00:00,@daddyhope @SADC_News Thus how Corona is spreading,,Twitter for Android
60,Capestop,"Cape Town, South Africa","Things to do, on stage entertainment, markets, be active & news. Thus stop, stay & play in #CapeTown.",False,2022-01-05 05:25:00+00:00,"COVID-19 news update

#virus #lockdown #corona #omicron 
https://t.co/uGs0ZhjhQX https://t.co/wulcKusuE5","['virus', 'lockdown', 'corona', 'omicron']",Twitter Web App
61,Thóriiso M Labuschagné,"Gauteng, South Africa","•Journalism & Marketing

IG: https://t.co/JF9xHdB1X5 
TikTok: https://t.co/AHdKymxcO3
📧: thorisogm23@gmail.com
Also, ORLANDO PIRATES🖤",False,2022-01-04 23:12:00+00:00,My gran. I want the cops to arrest her honestly. She's too old to be travelling mo Corona e kwatileng yana https://t.co/8t8AIN6l6B,,Twitter for Android
62,# devid@pretoria,South Africa,,False,2022-01-04 20:31:13+00:00,Let's all take all advice's from the president about corona virus and other related virus it will help us lot. https://t.co/pScpU39eIr,,Twitter for Android
63,Sakiiwo_NDA🦂,"Cape Town, South Africa",I'm the last of my kind ||Manager @_UrbanSlang  Photography ||,False,2022-01-04 20:27:10+00:00,So there’s a 5th wave detected in Israel called Flurona.The news just said its a combo of the flu and Corona virus. Here we go again!🤷🏼‍♂️,,Twitter for iPhone
64,Dr Mahlombenyoka Ca(sa) pty Ltd,afrique du sud,"The only way for the African to progress is  together with other Africans,no i don't want to learn about binaries or cryptocurrency",False,2022-01-04 19:20:58+00:00,The zondo and friends tv show releasing its report gives me hope that corona is really winding down it was just pre-vaccine entertainment,,Twitter for Android
65,soke,South Africa,,False,2022-01-04 17:02:39+00:00,@WIONews @MollyGambhir Omicron is nothing else than the mutating vax variant - because that is what common cold viruses do! Wake up. It is compulsory for the vax to include a super spreader (corona) carrying the depopulation manipulated spike protein and graphene oxide as neuro linker!,,Twitter for Android
66,Dagga Magazine,South Africa,South African Dagga Culture & Activism Magazine,False,2022-01-04 15:15:53+00:00,"Dagga , drugs, counterfeit goods and a firearm in Op Corona December successes – defenceWeb https://t.co/e3XCfZKCH6",,Dagga Magazine
67,Covid19_België,België,Two weeks to flatten the curve 🤡,False,2022-01-04 13:26:21+00:00,"@disclosetv It's even worse: even the vaxxed need a negative test result -&gt; crazy!!!
https://t.co/HG62qA90En",,Twitter Web App
68,Dr. LelokaNdlovu wa Alkebulan,Aether ,AFRAKAN | alternative science | Activist | Alkebu-Lani | ABZU | Esoteric student | Sphithiphithi Evaluator | Earth is Flat | ChiGong/Tai-Chi student,False,2022-01-04 13:15:57+00:00,"@Rhadebelihle A thought came to me, that C is the Corona-Band, or the Choronzo band, Choronzo being their occult Al Guhl of the void🧐",,Twitter Web App
69,Dazza',"Atteridgeville, South Africa",Passionate about farming || Entrepreneur,False,2022-01-04 13:15:07+00:00,@AndiMakinana Another covid scientific thingie here... Musk off u dnt worry camera sounds then put back corona shall nt see you. Re funny how we continue wth this madness,,Twitter for Android
70,Surya,India,"I stan the King.

Supports Indian Test cricket team, RCB, FC Goa and Man City

Follow for Memes, Edits and Funny tweets",False,2022-01-04 12:32:17+00:00,"Virat hasn't scored much runs since 2019 
He is a duplicate Kohli 
When corona came, Virat was affected and he died and wasn't informed to us
Duplicate Kohli has 50% talent of actual Kohli
Now you can see him not hitting centuries.😇

Source: @Soumyajitkohli2 https://t.co/hw3vBgGlel",,Twitter Web App
71,King_Shele👑🤴,"Cape Town, South Africa",I am currently living at Western Cape but originally from Limpopo ka Gazakulu🇿🇦proudly @Masandawana FC🟡@Liverpool FC🔴and @FC Bayern Mùnchen🔴 supporter.,False,2022-01-04 11:57:59+00:00,No January shall be formed against me and prosper...#Corona beke le beke...tot n tot https://t.co/U1qXWQiBRh,['Corona'],Twitter for Android
72,Pieter Engelbrecht,Cape Town,Gelukkig getroud. Software developer. Bly in die beste plek in die land - Northern Suburbs van Kaapstad 😁,False,2022-01-04 11:05:32+00:00,@coffeecalcs I've been watching that number on my own dashboard since this thing started... https://t.co/orvU5EVQAK,,Twitter for Android
73,The Outlier -,South Africa,|| Sapiosexual lover of Darkskin Women || Adv. Of Intellectual Democracy || I tweet politics & musings ||,False,2022-01-04 08:23:53+00:00,@MasterKGsa ''We only danced to Jerusalema because we were afraid to die of Corona'' ... https://t.co/vMr3mU43AE,,Twitter Web App
74,Lepara,"Cape Town, South Africa",This foe is beyond any of you.,False,2022-01-04 08:05:49+00:00,"Lucas Hernandez and Tanguy Nianzou have also tested positive for Corona and are therefore in domestic isolation. Dayot Upamecano, Josip Stanisic and Leroy Sané were also missing, with them ""the diagnosis is not yet complete"". Stanisic had only tested positive in mid-November.",,Twitter Web App
75,Bethany Grey,South Africa,"I just try hard to be true to myself, and stand up for the truth.",False,2022-01-04 05:38:46+00:00,"@gibbs_justine @Twit68529048 @HeatherMack18 1. Vaccines are not a cure. They work best when everyone is vaccinated. Not everyone is vaccinated. That causes mutation.
2. These vaccines are proving not to be 100% effective for corona viruses.
3. We will never be rid of this Corona virus. Delta/Covid A are all still around.",,Twitter for Android
76,Capestop,"Cape Town, South Africa","Things to do, on stage entertainment, markets, be active & news. Thus stop, stay & play in #CapeTown.",False,2022-01-04 05:35:00+00:00,"COVID-19 news update

#virus #lockdown #corona #omicron 
https://t.co/uGs0Zh1GZp https://t.co/VZeQql4YSj","['virus', 'lockdown', 'corona', 'omicron']",Twitter Web App
77,S'bu,"Cape Town, South Africa","This is not a government funded activity, I have the right to discriminate.",False,2022-01-04 03:31:45+00:00,"@kwets11 Corona tastes like sugar free, vegan beer for diabetics.",,Twitter for Android
78,Kingsley_Nedu7 🇿🇦🇳🇬,South Africa,"I am who God said i am
sonofmercy🙏",False,2022-01-03 21:02:37+00:00,Poor people respect Corona  more than the rich people  #theyisGod,['theyisGod'],Twitter for Android
79,Sibusiso,"George, South Africa",Saved by grace,False,2022-01-03 17:37:57+00:00,@LenkaBula @unisa Corona ayisa senzi nix. Unisa is the one that's actually going to kill us with stress. Imagine writing exams on the 27 October 2021 and no results to show for it. You get approval at work for funding yet you're not even sure if you've got placement for your next or  not,,Twitter for Android
80,soke,South Africa,,False,2022-01-03 16:14:24+00:00,@DrTomFrieden Well respected and well known scientists warned against it since 1978 when manipulated spike protein was planted on common cold Corona viruses in experiments ... Read info of Truth Commission on depopulation at Roodeplaat lab,,Twitter for Android
81,Mpumelelo Macu,South Africa,Commercial photographer | @redbullza Photographer | @nikon_sa Affiliate |  DJ - Mr Moeh 24 | Based in Johannesburg. Bookings: production@mpumelelomacu.com,False,2022-01-03 15:49:27+00:00,"Miss Corona, what have you done?!?! https://t.co/SBANwiMW6T",,Twitter for iPad
82,soke,South Africa,,False,2022-01-03 15:24:09+00:00,@mcknziedamsngr They knew about the manipulated protein planted then on the corona common cold virus as super spreader hiding behind the immune system of red blood cell life harvested from apes to decrease global poor populations... then came Starlink fuels and dispose it waking up latent Corona,,Twitter for Android
83,Lord of Knives🔪®,South Africa,Humanitarian | Let's all get equal opportunities | Assessment | Processing | Professional | Let's laugh together😂,False,2022-01-03 15:15:15+00:00,"@Sihle_Congo @phashake1 The order is based on Greek Alphabets, Flurona is not based on that.
But you may Google and check, Flurona is a condition where you have Corona and Flu at the same time, as much as I've gathered",,Twitter for Android
84,Ramabulana Lusani,South Africa,"IG: ramabulana_s





●●●●Real isn’t who’s with you at your celebration; real is who’s standing next to you at rock bottom.",False,2022-01-03 14:24:23+00:00,"Corona asking how do i do it? 
Me: 
#Covid_19 https://t.co/Ba2Biazlbu",['Covid_19'],Twitter for Android
85,Agatha,South Africa,All tweets = “allegedly”,False,2022-01-03 13:58:39+00:00,Craving for a cold Corona. 🥴,,Twitter for iPhone
86,Musawenkosi,"Kwa-Thema, South Africa","My existence is selvage denim, it's a vintage Hermes bag. All the stains just make it better.",False,2022-01-03 13:01:09+00:00,@BigBen_RSA Corona is the only beer excluding ciders that gives me hangovers or gets me sick. Yimbi la beer ay 😣. I still drink it though sometimes.,,Twitter for Android
87,Lord of Knives🔪®,South Africa,Humanitarian | Let's all get equal opportunities | Assessment | Processing | Professional | Let's laugh together😂,False,2022-01-03 10:03:29+00:00,@BrianMoore_19 It's what you get when Flu and Corona play together in your body 😂😂😂,,Twitter for Android
88,Sakhekile Mali,"Milnerton, South Africa","I'm prisoner of hope, bound by my Faith",False,2022-01-03 09:07:09+00:00,@zsimayi Yep and also there is one in Mfuleni that is called Corona I think😂😂😂😂,,Twitter for iPhone
89,Swiessens 🍺,België,Leo ♌️ • 040898 • Grafisch ontwerper @popkornbelgium,False,2022-01-03 07:52:52+00:00,"2019:
2020: 
2021: 
2022: Corona achieved https://t.co/hCllPEN9nd",,Twitter for iPhone
90,Lord of Knives🔪®,South Africa,Humanitarian | Let's all get equal opportunities | Assessment | Processing | Professional | Let's laugh together😂,False,2022-01-03 07:33:59+00:00,"2022: What can I do to be interesting? I want to be a bit different from 2020 and 2021,
 well let me mix ""Flu"" and ""Corona"".
 Phela, people said I'm their year, I mustn't dissapoint. 
😂😂😂
#flurona https://t.co/IJh79QAKJf",,Twitter for Android
91,Wentzel 🏳️‍🌈🐣,"Cape Town, South Africa","He/ him: Disarmingly honest, open minded, proudly queer...at times very misunderstood 🌈🐥",False,2022-01-03 05:57:31+00:00,"@Aphiwe047_057 @theHirohito @IItumelenghappi Kwaaa 😂 😂, 😂, he's probably tired of Corona, shem 🤷🏽😁😂😁😁😁😁",,Twitter for Android
92,Capestop,"Cape Town, South Africa","Things to do, on stage entertainment, markets, be active & news. Thus stop, stay & play in #CapeTown.",False,2022-01-03 05:30:00+00:00,"COVID-19 news update

#virus #lockdown #corona #omicron 
https://t.co/uGs0Zh1GZp https://t.co/dS7SxijMTJ","['virus', 'lockdown', 'corona', 'omicron']",Twitter Web App
93,SHELLOMBALD,South Africa,Speaker of the Word. Living for Christ and doing all things through Him.  Humble but not ignorant,False,2022-01-03 04:46:57+00:00,"IF YOU KEEP YOUR EYES FIXED ON JESUS THIS YEAR, THE EGYPTIANS YOU SAW LAST YEAR YOU SHALL NEVER SEE THEM AGAIN. COME CORONA OR LOCKDOWN YOU WILL REMAIN A CONQUEROR",,Twitter for Android
94,uyand.aa🖤,South Africa,,False,2022-01-02 22:29:54+00:00,@tamikamqhum you out jäger alongside black label and corona? block me and ill block you💔,,Twitter for Android
95,Mastandi.,Tzaneen/ Johannesburg RSA ,"Proudly Tsonga ||❤️|| 🌍 ||
Occupational therapist UCT alumni🎓 || 
God || Aspiring entrepreneur ||U12 netball coach|| ♿Athletics coach ||
Introvert🌻
🌱🌿🍀",False,2022-01-02 22:00:05+00:00,Would have been esfubeni se ndoda yami right now till further notice but corona had other plans 😭😭😭😭,,Twitter for iPhone
96,Farrokh Bulsara,België,"Interested in crypto, specially CARDANO and the visions of the man behind it!",False,2022-01-02 20:31:45+00:00,"@visegrad24 It is so obvious, and really so easy to predict these things...you don't wanna know where we are 2 years from now! Corona is finished, just look at the charts..only Omikron that is just a cold..but still these actions are happening all over the world. If only people could see..",,Twitter Web App
97,Mr.Brown🇿🇦,South Africa,"I know how to be quiet, shed a tear for a moment, and then pick up the gloves and fight again!",False,2022-01-02 18:06:41+00:00,"For me, my family, loved ones, enemies, friends, colleagues, my future bae, my continent to survive grief, Corona, vaccine, depression of all kinds, every desease under the sunand everything else I forgot to mention in 2022 till forever. ❤️🙏🏾 https://t.co/PwMQsavqUC",,Twitter for Android
